"gid","gene_name","fundescrp"
"145698236","lolA","chaperone for lipoproteins"
"16128878","rpsA","30S ribosomal subunit protein S1"
"16129057","acpP","acyl carrier protein (ACP)"
"16129094","purB","adenylosuccinate lyase"
"16129137","minE","cell division topological specificity factor"
"16129172","lolB","chaperone for lipoproteins"
"16129173","hemA","glutamyl tRNA reductase"
"16129174","prfA","peptide chain release factor RF-1"
"16129178","kdsA","3-deoxy-D-manno-octulosonate 8-phosphate synthase"
"90111298","ydfB","Qin prophage; predicted protein"
"90111316","ydiL","conserved protein"
"16129669","pheT","phenylalanine tRNA synthetase, beta subunit"
"16129670","pheS","phenylalanine tRNA synthetase, alpha subunit"
"90111372","yefM","antitoxin of the YoeB-YefM toxin-antitoxin system"
"16130126","yejM","predicted hydrolase, inner membrane"
"16130250","folC","bifunctional folylpolyglutamate synthase/ dihydrofolate synthase"
"16130251","accD","acetyl-CoA carboxylase, beta (carboxyltranferase) subunit"
"16130498","rpoE","RNA polymerase, sigma 24 (sigma E) factor"
"16130516","yfiO/bamD","predicted lipoprotein"
"16130603","csrA","pleiotropic regulatory protein for carbon source metabolism"
"16130686","eno","enolase"
"16130690","chpR","antitoxin of the ChpA-ChpR toxin-antitoxin system"
"16130842","yqgD","predicted inner membrane protein"
"16130960","ygjD","predicted peptidase"
"90111542","tdcF","predicted L-PSP (mRNA) endoribonuclease"
"16131038","yraL","predicted methyltransferase"
"90111549","yhbV","predicted protease"
"16131061","nusA","transcription termination/antitermination L factor"
"16131068","ftsH/hflB","protease, ATP-dependent zinc-metallo"
"16131075","rpmA","50S ribosomal subunit protein L27"
"16131076","rplU","50S ribosomal subunit protein L21"
"16131079","murA","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"90111556","yrbB","predicted protein"
"16131089","yrbK","conserved protein"
"16131090","yhbN/lptA","predicted transporter subunit: periplasmic-binding component of ABC superfamily"
"16131125","degS","serine endoprotease, periplasmic"
"16131137","mreD","cell wall structural complex MreBCD transmembrane component MreD"
"16131143","accB","acetyl CoA carboxylase, BCCP subunit"
"16131144","accC","acetyl-CoA carboxylase, biotin carboxylase subunit"
"16131163","yrdC/rimN","predicted ribosome maturation factor"
"16131173","rplQ","50S ribosomal subunit protein L17"
"16131174","rpoA","RNA polymerase, alpha subunit"
"16131175","rpsD","30S ribosomal subunit protein S4"
"16131176","rpsK","30S ribosomal subunit protein S11"
"16131181","rpmD","50S ribosomal subunit protein L30"
"16131187","rplE","50S ribosomal subunit protein L5"
"16131191","rpmC","50S ribosomal subunit protein L29"
"16131192","rplP","50S ribosomal subunit protein L16"
"16131193","rpsC","30S ribosomal subunit protein S3"
"16131194","rplV","50S ribosomal subunit protein L22"
"16131220","rpsG","30S ribosomal subunit protein S7"
"16131275","yrfF","predicted inner membrane protein"
"16131334","ftsX","predicted transporter subunit: membrane component of ABC superfamily"
"16131343","yhhQ","conserved inner membrane protein"
"16131404","bcsB","regulator of cellulose synthase, cyclic di-GMP binding"
"-","yibJ","-"
"16131479","gpsA","glycerol-3-phosphate dehydrogenase (NAD+)"
"16131494","rfaK/waaU","lipopolysaccharide core biosynthesis"
"16131508","rpmB","50S ribosomal subunit protein L28"
"16131521","spoT","bifunctional (p)ppGpp synthetase II/ guanosine-35?xc2xb1-bis pyrophosphate 3?xc2xb0-pyrophosphohydrolase"
"49176395","gyrB","DNA gyrase, subunit B"
"16131569","dnaN","DNA polymerase III, beta subunit"
"16131571","rpmH","50S ribosomal subunit protein L34"
"16131572","rnpA","protein C5 component of RNase P"
"16131573","yidC","cytoplasmic insertase into membrane protein, Sec system"
"16131577","tnaB","tryptophan transporter of low affinity"
"16131683","yigP","conserved protein"
"16131689","ubiD","3-octaprenyl-4-hydroxybenzoate decarboxylase"
"16131771","ftsN","essential cell division protein"
"16131806","murB","UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding"
"16131811","secE","preprotein translocase membrane subunit"
"16131812","nusG","transcription termination factor"
"16131866","ubiA","p-hydroxybenzoate octaprenyltransferase"
"90111678","plsB","glycerol-3-phosphate O-acyltransferase"
"16131869","lexA","DNA-binding transcriptional repressor of SOS regulon"
"16131885","ssb","single-stranded DNA-binding protein"
"16131910","alsK","D-allose kinase"
"16131985","psd","phosphatidylserine decarboxylase"
"90111697","orn","oligoribonuclease"
"16132024","rpsR","30S ribosomal subunit protein S18"
"-","bA0001","-"
"-","bA0002","-"
"16271977","gapA/gapdH","glyceraldehyde-3-phosphate dehydrogenase"
"16271980","HI0004","hypothetical protein"
"16271984","fdhE","formate dehydrogenase accessory protein FdhE"
"16271985","rimI","ribosomal-protein-alanine N-acetyltransferase"
"16271988","era","GTP-binding protein Era"
"16271989","rnc","ribonuclease III"
"16271990","lepB","signal peptidase I"
"16271993","ung","uracil-DNA glycosylase"
"16271995","HI0020","transport protein"
"16271997","citF","citrate lyase alpha chain"
"30995348","citE","citrate lyase beta chain"
"16272002","lipB","lipoyltransferase"
"16272005","HI0030","lipoprotein"
"16272007","mrdA/pbp2","penicillin-binding protein 2"
"16272010","HI0035","hypothetical protein"
"16272013","mreC","rod shape-determining protein"
"16272014","mreD","rod shape-determining protein"
"16272015","HI0040","hypothetical protein"
"16272016","xthA","exonuclease III"
"16272017","HI0042","pseudouridine synthase-like protein"
"16272018","HI0043","hypothetical protein"
"16272020","HI0045","hypothetical protein"
"16272023","HI0048","D-mannonate oxidoreductase"
"16272024","kdgK","2-dehydro-3-deoxygluconokinase"
"16272030","HI0056","hypothetical protein"
"16272032","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase"
"16272033","lpxK","tetraacyldisaccharide 4?xc2xb1-kinase"
"16272035","rec2","recombination protein"
"16272040","amiB","N-acetylmuramoyl-L-alanine amidase"
"16272041","mutL","DNA mismatch repair protein"
"16272042","miaA","tRNA delta(2)-isopentenylpyrophosphate transferase"
"16272047","HI0073","nucleotidyltransferase"
"16272051","HI0077","hypothetical protein"
"16272052","cysS","cysteinyl-tRNA synthetase"
"16272054","HI0080","hypothetical protein"
"16272055","HI0081","hypothetical protein"
"16272059","ddh/ldhA","D-lactate dehydrogenase"
"16272060","metB","cystathionine gamma-synthase"
"16272061","thrC","threonine synthase"
"16272063","thrA","bifunctional aspartokinase I/homeserine dehydrogenase I"
"16272064","HI0090","hypothetical protein"
"16272065","glxK","hypothetical protein"
"16272066","HI0092","hypothetical protein"
"16272067","HI0093","hypothetical protein"
"16272070","HI0096","hypothetical protein"
"30995355","hitB","iron(III) ABC transporter permease protein"
"16272073","hitC","iron(III) ABC transporter ATP-binding protein"
"16272077","HI0103","hypothetical protein"
"16272082","HI0108","hypothetical protein"
"16272083","HI0109","hypothetical protein"
"16273671","mltA","membrane-bound lytic murein transglycosylase"
"16272088","HI0118","hypothetical protein"
"16272089","znuA","high-affinity zinc transporter periplasmic component"
"16272090","HI0120","hypothetical protein"
"16272091","mpl","UDP-N-acetylmuramoylalanine-D-glutamate ligase-like protein"
"16272092","metC","cystathionine beta-lyase"
"16272093","pgsA","phosphatidylglycerophosphate synthase"
"16272094","ppa","inorganic pyrophosphatase"
"16272095","HI0125","hypothetical protein"
"16272096","afuC/fbpC","ferric transporter ATP-binding subunit"
"16272097","afuB","ferric transport system permease-like protein"
"16272098","afuA","ferric ABC transporter protein"
"16272099","udk","uridine kinase"
"16272101","HI0134","hypothetical protein"
"16272102","HI0135","sugar efflux transporter"
"16272104","dnaQ","DNA polymerase III subunit epsilon"
"16272107","nagA","N-acetylglucosamine-6-phosphate deacetylase"
"16272108","nagB","glucosamine-6-phosphate deaminase"
"16272113","HI0146","hypothetical protein"
"16272115","HI0148","hypothetical protein"
"16272117","HI0149","hypothetical protein"
"16272120","HI0152","hypothetical protein"
"16272122","fabG","3-ketoacyl-(acyl-carrier-protein) reductase"
"16272123","fabD","acyl carrier protein S-malonyltransferase"
"16272124","fabH","3-oxoacyl-(acyl carrier protein) synthase III"
"16272130","bolA","transcriptional regulator"
"16272137","apbE","lipoprotein"
"16272139","trmU","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"16272140","HI0175","hypothetical protein"
"16272141","rluD","23S rRNA pseudouridine synthase D"
"16272144","pflA","pyruvate formate lyase-activating enzyme 1"
"16272145","pflB","formate acetyltransferase 1-like protein"
"16272146","focA","formate transporter"
"30995357","HI0182","N-acetyl-D-glucosamine kinase"
"16272148","HI0183","amino acid carrier protein"
"16272150","adhC","alcohol dehydrogenase class III"
"16272152","tatC","hypothetical protein"
"16272155","fldA","flavodoxin FldA"
"16272157","seqA","replication initiation regulator SeqA"
"30995358","HI0193","esterase/lipase"
"16272158","menE","O-succinylbenzoic acid--CoA ligase"
"16272160","aroC","chorismate synthase"
"16272162","HI0198","hypothetical protein"
"16272163","msbB","lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase"
"18677785","rplS","50S ribosomal protein L19"
"16272167","rpsP","30S ribosomal protein S16"
"16272168","HI0205","hypothetical protein"
"16272170","aroK","shikimate kinase"
"16272171","aroB","3-dehydroquinate synthase"
"16272172","dam","DNA adenine methylase"
"16272173","pgpB","phosphatidylglycerophosphatase B"
"30995360","ribA","GTP cyclohydrolase II"
"16272182","birA","biotin--protein ligase"
"16272185","guaA","bifunctional GMP synthase/glutamine amidotransferase protein"
"16272186","HI0223","hypothetical protein"
"16272199","secF","preprotein translocase subunit SecF"
"16272204","tgt","queuine tRNA-ribosyltransferase"
"16272209","tonB","TonB"
"16272213","dapA","dihydrodipicolinate synthase"
"16272224","HI0266","hypothetical protein"
"16272232","gltX","glutamyl-tRNA synthetase"
"16272234","rbn","ribonuclease BN"
"16272238","HI0282","acyl-CoA thioester hydrolase YfbB"
"16272239","menD","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase"
"16272240","menF","menaquinone-specific isochorismate synthase"
"16272252","hofC","protein transport protein"
"16272258","HI0303","hypothetical protein"
"16272261","rdgC","recombination associated protein"
"16272281","HI0329","hypothetical protein"
"16272287","dgkA","diacylglycerol kinase"
"16272289","glnB","nitrogen regulatory protein P-II"
"16272290","HI0338","hypothetical protein"
"16272296","napG","quinol dehydrogenase periplasmic component"
"16272297","napH","quinol dehydrogenase membrane component"
"16272303","HI0352","hypothetical protein"
"16272305","HI0355","ABC transporter permease protein"
"16272314","HI0366","fimbrial biogenesis and twitching motility protein"
"16272315","HI0367","hypothetical protein"
"16272321","hscA","chaperone protein HscA"
"16272323","hscB","co-chaperone HscB"
"16272328","HI0380","hypothetical protein"
"16272330","tolB","translocation protein TolB"
"16272335","dinG","ATP-dependent helicase"
"30995371","HI0391","hypothetical protein"
"16272343","pth","peptidyl-tRNA hydrolase"
"16272348","icc","cyclic 35?xc2xb0-adenosine monophosphate phosphodiesterase"
"16272349","HI0400","hypothetical protein"
"16272354","pdxY","pyridoxamine kinase"
"16272355","accA","acetyl-CoA carboxylase carboxyltransferase subunit alpha"
"16272361","rluC","23S rRNA pseudouridylate synthase C"
"30995373","rne","ribonuclease E"
"16272365","thiD","phosphomethylpyrimidine kinase"
"16272366","thiE","thiamine-phosphate pyrophosphorylase"
"16272367","HI0418","transport protein"
"16272371","HI0423","hypothetical protein"
"16272384","comD","competence protein D"
"16272385","comC","competence protein C"
"16272386","comB","competence protein B"
"16272387","comA","competence protein A"
"16272403","holB","DNA polymerase III subunit delta?xc2xb1"
"30995377","tmk/tdk","thymidylate kinase"
"16272406","surA","stationary-phase survival protein SurA"
"16272408","mazG","nucleoside triphosphate pyrophosphohydrolase"
"16272412","rpiA","ribose-5-phosphate isomerase A"
"16272413","serA","D-3-phosphoglycerate dehydrogenase"
"16272414","HI0466","hypothetical protein"
"161350015","HI0467","hypothetical protein"
"16272416","hisG","ATP phosphoribosyltransferase"
"16272418","hisC","histidinol-phosphate aminotransferase"
"16272419","hisB","imidazole glycerol-phosphate dehydratase/histidinol phosphatase"
"16272421","hisA","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase"
"16272424","tyrP-A/tyrP","tyrosine-specific transport protein"
"30995379","potD-A/potD","spermidine/putrescine ABC transporter periplasmic-binding protein"
"16272454","HI0510","hypothetical protein"
"16272459","rpoB","DNA-directed RNA polymerase subunit beta"
"16272461","rplK","50S ribosomal protein L11"
"16272466","HI0522","hypothetical protein"
"16272469","pgk","phosphoglycerate kinase"
"16272476","dnaG","DNA primase"
"16272477","rpoD","RNA polymerase sigma-70 factor"
"16272478","aspA","aspartate ammonia-lyase"
"16272489","rpsR","30S ribosomal protein S18"
"161350027","priB","primosomal replication protein N"
"16272491","rpsF","30S ribosomal protein S6"
"30995385","infA","translation initiation factor IF-1"
"16272493","ksgA","dimethyladenosine transferase"
"16272504","HI0561","serine protease"
"16272507","asnA","asparagine synthetase AsnA"
"30995386","rpe/dod","ribulose-phosphate 3-epimerase"
"16272510","gyrB","DNA gyrase subunit B"
"16272511","tex","transcription accessory protein"
"16272512","greB","transcription elongation factor GreB"
"16272513","HI0570","DNA-binding transcriptional repressor FabR"
"16272516","slyX","hypothetical protein"
"16272518","HI0575","hypothetical protein"
"16272519","HI0576","hypothetical protein"
"16272520","HI0576.1","hypothetical protein"
"16272523","fusA","elongation factor G"
"16272524","rpsG/rpS7","30S ribosomal protein S7"
"16272525","rpsL","30S ribosomal protein S12"
"16272527","cpdB","bifunctional 23?xc2xb0-cyclic nucleotide 2?xc2xb1-phosphodiesterase/3?xc2xb0-nucleotidase periplasmic precursor protein"
"161350026","recX","recombination regulator RecX"
"16272546","cyaA","adenylate cyclase"
"16272547","gpsA","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
"16272548","cysE","serine acetyltransferase"
"16272555","fucK","L-fuculokinase"
"30995389","fucI","L-fucose isomerase"
"16272557","fucR","L-fucose operon activator"
"16272559","rluA","hypothetical protein"
"16272560","glpG","glp protein"
"16272568","trkA","potassium transporter peripheral membrane component"
"16272574","coaA","pantothenate kinase"
"30995390","HI0633","hypothetical protein"
"16272577","HI0634","tRNA-dihydrouridine synthase A"
"16272588","pldB","lysophospholipase L2"
"16272589","asd","aspartate-semialdehyde dehydrogenase"
"16272590","HI0647","transport protein"
"16272592","rep","ATP-dependent DNA helicase"
"16272593","HI0650","hypothetical protein"
"16272594","coaD","phosphopantetheine adenylyltransferase"
"16272595","kdtA","3-deoxy-D-manno-octulosonic-acid transferase"
"16272597","tag/tagI","DNA-3-methyladenine glycosidase I"
"16272598","aroE","shikimate 5-dehydrogenase"
"16272599","HI0656","hypothetical protein"
"16272600","HI0656.1","hypothetical protein"
"16272603","HI0660","hypothetical protein"
"16272605","HI0664","ABC transporter ATP-binding protein"
"16272606","HI0665","hypothetical protein"
"16272609","glpX","fructose 1,6-bisphosphatase II"
"16272613","ispF","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
"16272614","ispD","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase"
"16272616","gptA","xanthine-guanine phosphoribosyltransferase"
"16272617","pepD","aminoacyl-histidine dipeptidase"
"16272619","HI0677","hypothetical protein"
"16272620","tpiA","triosephosphate isomerase"
"16272621","glpE","GlpE"
"16272622","HI0680","RarD"
"16272623","ilvY","DNA-binding transcriptional regulator IlvY"
"16272626","glpB","anaerobic glycerol-3-phosphate dehydrogenase subunit B"
"16272627","glpA","sn-glycerol-3-phosphate dehydrogenase subunit A"
"16272629","HI0687","hypothetical protein"
"16272630","HI0688","hypothetical protein"
"16272639","HI0698","hypothetical protein"
"16272642","truD","tRNA pseudouridine synthase D"
"16272647","mutS","DNA mismatch repair protein"
"16272649","selB","selenocysteine-specific elongation factor"
"16272651","HI0711","hypothetical protein"
"161350016","clpP","ATP-dependent Clp protease proteolytic subunit"
"16272656","secE","preprotein translocase subunit SecE"
"16272657","nusG","transcription antitermination protein NusG"
"16272658","vacJ","lipoprotein"
"16272663","trkH","TRK system potassium uptake protein"
"16272666","narP","nitrate/nitrite response regulator protein"
"16272668","cyaY","frataxin-like protein"
"16272669","recQ","ATP-dependent DNA helicase"
"16272670","proS","prolyl-tRNA synthetase"
"16272671","imp","organic solvent tolerance protein"
"16272674","sufI","truncated suppressor of ftsI protein"
"16272675","plsC","1-acyl-glycerol-3-phosphate acyltransferase"
"16272681","dnaE","DNA polymerase III subunit alpha"
"30995397","yhxB","phosphomannomutase"
"30995398","lexA","LexA repressor"
"16272691","dapF","diaminopimelate epimerase"
"16272694","anmK","anhydro-N-acetylmuramic acid kinase"
"16272697","HI0756","hypothetical protein"
"16272698","gpm/gpmA","phosphoglyceromutase"
"16272699","rpmE","50S ribosomal protein L31"
"16272703","HI0762","hypothetical protein"
"16272704","nadR","nicotinamide-nucleotide adenylyltransferase"
"16272708","HI0767","hypothetical protein"
"16272709","ftsY","cell division protein"
"16272710","ftsE","cell division ATP-binding protein"
"16272711","ftsX","cell division protein FtsX"
"16272713","atoE","short chain fatty acids transporter"
"16272714","atoA","acetate CoA-transferase beta subunit"
"16272715","atoD","acetyl-CoA:acetoacetyl-CoA transferase subunit alpha"
"16272720","rplW","50S ribosomal protein L23"
"16272721","rplB","50S ribosomal protein L2"
"16272722","rpsS","30S ribosomal protein S19"
"16272723","rplV","50S ribosomal protein L22"
"16272724","rpsC","30S ribosomal protein S3"
"16272725","rplP","50S ribosomal protein L16"
"16272726","rpmC","50S ribosomal protein L29"
"16272727","rpsQ","30S ribosomal protein S17"
"16272729","rplN","50S ribosomal protein L14"
"16272730","rplX","50S ribosomal protein L24"
"30995402","rplE","50S ribosomal protein L5"
"16272732","rpsN","30S ribosomal protein S14"
"16272733","rpsH","30S ribosomal protein S8"
"16272734","rplF","50S ribosomal protein L6"
"16272735","rplR","50S ribosomal protein L18"
"16272736","rpsE","30S ribosomal protein S5"
"16272737","rpmD","50S ribosomal protein L30"
"16272738","rplO","50S ribosomal protein L15"
"16272741","rpsM","30S ribosomal protein S13"
"16272742","rpsK/rpS11","30S ribosomal protein S11"
"16272743","rpsD","30S ribosomal protein S4"
"16272744","rpoA","DNA-directed RNA polymerase subunit alpha"
"16272745","rplQ","50S ribosomal protein L17"
"16272747","HI0806","hypothetical protein"
"16272748","dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"16272749","frr","ribosome recycling factor"
"16272751","hslO","Hsp33-like chaperonin"
"16272752","argH","argininosuccinate lyase"
"16272755","alaS","alanyl-tRNA synthetase"
"16272757","pepP","aminopeptidase P"
"16272761","galT","galactose-1-phosphate uridylyltransferase"
"16272762","galR","galactose operon repressor"
"16272766","HI0825","hypothetical protein"
"16272767","ispZ","intracellular septation protein A"
"16272770","slt","soluble lytic murein transglycosylase"
"16272771","trpR","Trp operon repressor"
"30995405","mtgA","monofunctional biosynthetic peptidoglycan transglycosylase"
"16272773","frdD","fumarate reductase subunit D"
"161350024","poxA/genX","lysyl-tRNA synthetase"
"16272783","HI0842","hypothetical protein"
"16273637","HI0849m","SAM-dependent methyltransferase"
"16272791","mobB","molybdopterin-guanine dinucleotide biosynthesis protein B"
"16272795","HI0855","hypothetical protein"
"16272798","HI0858","hypothetical protein"
"16272799","clpB","ATP-dependent Clp protease ATPase subunit"
"16272805","glnA","glutamine synthetase"
"16272807","HI0867","lipopolysaccharide biosynthesis protein"
"16272808","HI0868","hypothetical protein"
"30995407","HI0869","hypothetical protein"
"16272810","HI0870","hypothetical protein"
"30995408","rffG","dTDP-glucose 46-dehydratase"
"16272815","HI0874","hypothetical protein"
"16272821","ispB","octaprenyl-diphosphate synthase"
"16272828","purD","phosphoribosylamine--glycine ligase"
"16272830","rhlB","ATP-dependent RNA helicase RhlB"
"16272835","emrB","multidrug resistance protein B"
"16272837","folA","dihydrofolate reductase"
"16272839","nudH","dinucleoside polyphosphate hydrolase"
"16272841","lgt","prolipoprotein diacylglyceryl transferase"
"16272843","HI0906","hypothetical protein"
"16272844","HI0907","hypothetical protein"
"16272848","kefBC/kefC","glutathione-regulated potassium efflux system protein"
"16272849","HI0912","hypothetical protein"
"161350022","rpsB","30S ribosomal protein S2"
"16272852","lpxD","UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase"
"16272858","leuS","leucyl-tRNA synthetase"
"30995409","HI0922","rare lipoprotein B"
"16272860","holA","DNA polymerase III subunit delta"
"16272861","glyS","glycyl-tRNA synthetase subunit beta"
"16272870","HI0933","hypothetical protein"
"16272905","menB","naphthoate synthase"
"16272909","accC","acetyl-CoA carboxylase biotin carboxylase subunit"
"16272912","panF","sodium/panthothenate symporter"
"16272913","HI0976","hypothetical protein"
"16272915","fic","cell filamentation protein"
"16272916","prmA","ribosomal protein L11 methyltransferase"
"16272919","smpB","SsrA-binding protein"
"16272920","pfkA","6-phosphofructokinase"
"30995415","HI0984","hypothetical protein"
"30995416","leuA","2-isopropylmalate synthase"
"16272925","leuB","3-isopropylmalate dehydrogenase"
"16272926","leuC","isopropylmalate isomerase large subunit"
"16272927","leuD","isopropylmalate isomerase small subunit"
"16272930","dnaN","DNA polymerase III subunit beta"
"16272931","dnaA","chromosomal replication initiation protein"
"16272932","tbpA/tbp1","transferrin-binding protein 1 precursor"
"16272934","rpmH","50S ribosomal protein L34"
"16272935","rnpA","ribonuclease P"
"16272937","yidC","putative inner membrane protein translocase component YidC"
"16272938","trmE","tRNA modification GTPase TrmE"
"16272941","lspA","lipoprotein signal peptidase"
"16272942","lytB/ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"16272943","HI1008","hypothetical protein"
"16272945","HI1010","3-hydroxyisobutyrate dehydrogenase"
"16272946","HI1011","hypothetical protein"
"16272948","HI1013","hypothetical protein"
"16272950","gntP","gluconate permease"
"16272951","HI1016","hypothetical protein"
"16272954","thiP","thiamin transporter membrane protein"
"16272955","thiQ","thiamin ABC transporter ATP-binding protein"
"16272956","bioB","biotin synthetase"
"16272957","tktA","transketolase"
"16272961","lyx","L-xylulose kinase"
"16272962","HI1028","hypothetical protein"
"16272963","HI1029","hypothetical protein"
"16272964","HI1030","hypothetical protein"
"16272965","HI1031","2,3-diketo-L-gulonate reductase"
"16272971","HI1037","hypothetical protein"
"16272974","HinDVM","modification methylase"
"16272975","napF","ferredoxin-type protein"
"16272976","HI1044","twin-argninine leader-binding protein DmsD"
"16272977","dmsC","anaerobic dimethyl sulfoxide reductase chain C"
"16272978","dmsB","anaerobic dimethyl sulfoxide reductase chain B"
"16272979","dmsA","anaerobic dimethyl sulfoxide reductase chain A"
"16272981","merT","mercuric ion transport protein"
"16272985","HI1053","hypothetical protein"
"16272986","HI1054","hypothetical protein"
"30995419","HI1055","type III restriction-modification system endonuclease-like protein"
"16272990","rnhB","ribonuclease HII"
"16272993","fabZ","(3R)-hydroxymyristol (acyl carrier protein) dehydrase"
"16272996","pyrH","uridylate kinase"
"30995421","nrfB","cytochrome c-type protein NrfB"
"161350017","nrfA","cytochrome c nitrite reductase"
"16273004","cydB","cytochrome D ubiquinol oxidase subunit II"
"16273005","cydA","cytochrome D ubiquinol oxidase subunit I"
"16273006","pyrG","CTP synthetase"
"16273014","HI1086","hypothetical protein"
"16273015","HI1087","ABC transporter ATP-binding protein"
"16273021","ccmE","cytochrome c-type biogenesis protein CcmE"
"16273022","ccmF","cytochrome C-type biogenesis protein"
"16273642","ccmH","cytochrome C-type biogenesis protein"
"30995424","ligN/ligA","NAD-dependent DNA ligase LigA,(ligN/ligA)"
"16273027","zipA","cell division protein ZipA"
"16273028","cysZ","putative sulfate transport protein CysZ"
"16273031","rfaF","ADP-heptose-LPS heptosyltransferase II"
"16273033","nhaC","Na+/H+ antiporter"
"16273042","comM","competence protein"
"16273043","engB","GTPase EngB"
"16273044","lapB","membrane protein"
"16273057","ftsL","cell division protein"
"16273062","murD","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase"
"16273064","murG","N-acetylglucosaminyl transferase"
"16273065","murC","UDP-N-acetylmuramate--L-alanine ligase"
"16273066","ddl","D-alanine--D-alanine ligase"
"16273067","ftsQ","cell division protein"
"16273068","ftsA","cell division protein"
"16273069","ftsZ","cell division protein FtsZ"
"16273071","pheA","chorismate mutase/prephenate dehydratase"
"30995425","HI1146","hypothetical protein"
"16273073","ptsN","nitrogen regulatory IIA protein"
"16273076","HI1151","hypothetical protein"
"16273077","pmbA","PmbA"
"16273084","hemH","ferrochelatase"
"16273085","HI1161","hypothetical protein"
"16273095","trpG","para-aminobenzoate synthase component II"
"16273097","sprT","hypothetical protein"
"16273101","artI","arginine ABC transporter periplasmic-binding protein"
"16273102","artP","arginine transporter ATP-binding subunit"
"16273106","dppF","dipeptide transporter ATP-binding subunit"
"16273107","dppD","dipeptide transporter ATP-binding subunit"
"16273110","uvrD","DNA-dependent helicase II"
"16273111","HI1189","hypothetical protein"
"16273646","gcvA","transcription activator"
"16273121","HI1201","N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase"
"30995431","HI1202","hypothetical protein"
"16273125","HI1205","hypothetical protein"
"16273130","mdh","malate dehydrogenase"
"16273132","dsbC","thiol-disulfide interchange protein"
"16273139","rpsA","30S ribosomal protein S1"
"16273141","HI1222","hypothetical protein"
"16273142","HI1223","hypothetical protein"
"16273149","apt","adenine phosphoribosyltransferase"
"16273150","lpdA","dihydrolipoamide dehydrogenase"
"16273151","aceF","dihydrolipoamide acetyltransferase"
"16273153","mgsA","methylglyoxal synthase"
"16273161","bcr","bicyclomycin/multidrug efflux system"
"16273162","rsuA","16S pseudouridylate 516 synthase"
"16273163","HI1244","hypothetical protein"
"16273164","maeB","malic enzyme"
"16273165","HI1246","hypothetical protein"
"16273166","uvrB","excinuclease ABC subunit B"
"16273167","HI1248","hypothetical protein"
"16273168","HI1249","hypothetical protein"
"16273175","HI1256","hypothetical protein"
"16273176","mfd","transcription-repair coupling factor"
"16273178","accD","acetyl-CoA carboxylase subunit beta"
"16273190","tehB","tellurite resistance protein TehB"
"16273191","metG","methionyl-tRNA synthetase"
"16273193","HI1278","NAD(P)H-flavin oxidoreductase"
"30995436","HI1282","hypothetical protein"
"16273199","hsdR","type I restriction enzyme"
"30995437","hsdM","type I modification enzyme"
"16273203","truB","tRNA pseudouridine synthase B"
"16273205","queF","7-cyano-7-deazaguanine reductase"
"30995438","csd","NifS"
"16273211","HI1298","hypothetical protein"
"16273212","uup-A","ABC transporter ATPase component"
"16273218","pgpA","phosphatidylglycerophosphatase A"
"16273219","HI1307","hypothetical protein"
"16273220","dapB","dihydrodipicolinate reductase"
"16273223","pheS","phenylalanyl-tRNA synthetase subunit alpha"
"16273224","pheT","phenylalanyl-tRNA synthetase subunit beta"
"16273225","ihfA/himA","integration host factor alpha-subunit"
"16273226","nlpC","lipoprotein"
"16273229","HI1317","hypothetical protein"
"16273648","infC","translation initiation factor IF-3"
"16273679","rpmI","50S ribosomal protein L35"
"16273230","rplT","50S ribosomal protein L20"
"16273231","recB","exodeoxyribonuclease V beta chain"
"16273233","HI1323","hypothetical protein"
"16273234","lon-B","lon protease"
"16273235","fabA","3-hydroxydecanoyl-(acyl carrier protein) dehydratase"
"16273241","dacB","D-alanyl-D-alanine carboxypeptidase/endopeptidase"
"16273244","rrmJ","23S rRNA methyltransferase J"
"16273250","HI1340","hypothetical protein"
"16273253","uup-B","ABC transporter ATP-binding protein"
"16273258","pepT","peptidase T"
"16273259","HI1349","hypothetical protein"
"16273260","cdd","cytidine deaminase"
"16273264","glnS","glutaminyl-tRNA synthetase"
"16273266","malQ","4-alpha-glucanotransferase"
"16273267","glgB","glycogen branching enzyme"
"16273274","HI1364","transcriptional regulator"
"16273275","topA","DNA topoisomerase I"
"16273276","acpD","acyl carrier protein phosphodiesterase"
"16273277","thrS","threonyl-tRNA synthetase"
"16273278","pqqL","zinc protease"
"16273281","HI1371","desulfoviridin gamma subunit"
