"access_num","koid","cogid","description","ec"
"CEG0314","K00058","COG0111HE","D-3-phosphoglycerate dehydrogenase","[EC:1.1.1.95]"
"CEG0315","K00793","COG0307H","riboflavin synthase alpha chain","[EC:2.5.1.9]"
"CEG0316","K00795","COG0142H","farnesyl diphosphate synthase","[EC:2.5.1.1 2.5.1.10]"
"CEG0317","K00867","COG1072H","type I pantothenate kinase","[EC:2.7.1.33]"
"CEG0318","K00925","COG0282C","acetate kinase","[EC:2.7.2.1]"
"CEG0319","K00963","COG1210M","UTP--glucose-1-phosphate uridylyltransferase","[EC:2.7.7.9]"
"CEG0320","K01696","COG0133E","tryptophan synthase beta chain","[EC:4.2.1.20]"
"CEG0321","K01698","COG0113H","porphobilinogen synthase","[EC:4.2.1.24]"
"CEG0322","K01716","COG0764I","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase","[EC:4.2.1.60]"
"CEG0323","K01784","COG1087M,COG0451MG","UDP-glucose 4-epimerase","[EC:5.1.3.2]"
"CEG0324","K01845","COG0001H","glutamate-1-semialdehyde 2,1-aminomutase","[EC:5.4.3.8]"
"CEG0325","K02008","COG0619P","cobalt/nickel transport system permease protein","---"
"CEG0326","K02108","COG0356C","F-type H+-transporting ATPase subunit a","[EC:3.6.3.14]"
"CEG0327","K02342","COG0847L","DNA polymerase III subunit epsilon","[EC:2.7.7.7]"
"CEG0328","K02493","COG2890J","methyltransferase","[EC:2.1.1.-]"
"CEG0329","K02535","COG0774M","UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","[EC:3.5.1.-]"
"CEG0330","K02913","COG0267J","large subunit ribosomal protein L33","---"
"CEG0331","K02939","COG0359J","large subunit ribosomal protein L9","---"
"CEG0332","K03089","COG0568K","RNA polymerase sigma-32 factor","---"
"CEG0333","K03179","COG0382H","4-hydroxybenzoate octaprenyltransferase","[EC:2.5.1.-]"
"CEG0334","K03424","COG0084L","TatD DNase family protein","[EC:3.1.21.-]"
"CEG0335","K03495","COG0445D","glucose inhibited division protein A","---"
"CEG0336","K03551","COG2255L","holliday junction DNA helicase RuvB","---"
"CEG0337","K03571","COG2891M","rod shape-determining protein MreD","---"
"CEG0338","K03625","COG0781K","N utilization substance protein B","---"
"CEG0339","K03628","COG1158K","transcription termination factor Rho","---"
"CEG0340","K03643","COG2980M","LPS-assembly lipoprotein","---"
"CEG0341","K03650","COG0486R","tRNA modification GTPase","---"
"CEG0342","K03656","COG0210L","ATP-dependent DNA helicase Rep","[EC:3.6.4.12]"
"CEG0343","K03664","COG0691O","SsrA-binding protein","---"
"CEG0344","K03690","COG3165S","hypothetical protein","---"
"CEG0345","K03763","COG2176L","DNA polymerase III subunit alpha, Gram-positive type","[EC:2.7.7.7]"
"CEG0346","K03801","COG0321H","lipoyl(octanoyl) transferase","[EC:2.3.1.181]"
"CEG0347","K03839","COG0716C","flavodoxin I","---"
"CEG0348","K04082","COG1076O","molecular chaperone HscB","---"
"CEG0349","K04085","COG0425O","tRNA 2-thiouridine synthesizing protein A","[EC:2.8.1.-]"
"CEG0350","K05589","COG2919D","cell division protein FtsB","---"
"CEG0351","K06180","COG0564J","ribosomal large subunit pseudouridine synthase D","[EC:5.4.99.12]"
"CEG0352","K06861","COG1137R","lipopolysaccharide export system ATP-binding protein","[EC:3.6.3.-]"
"CEG0353","K06980","COG0354R","---","---"
"CEG0354","K07091","COG0795R","lipopolysaccharide export system permease protein","---"
"CEG0355","K07236","COG2923P","tRNA 2-thiouridine synthesizing protein C","---"
"CEG0356","K07483","COG2963L","transposase","---"
"CEG0357","K09013","COG0396O","Fe-S cluster assembly ATP-binding protein","---"
"CEG0358","K09811","COG2177D","cell division transport system permease protein","---"
"CEG0359","K09812","COG2884D,COG1136V","cell division transport system ATP-binding protein","---"
"CEG0360","K11179","COG2920P","tRNA 2-thiouridine synthesizing protein E","[EC:2.8.1.-]"
"CEG0361","K11189","COG1925G","phosphocarrier protein","---"
"CEG0362","---","COG0204I","yhdO/VC1937/VCA0921/plsC/PA14_31750",
"CEG0363","---","COG0316S","VC0627/yadR/erpA/ACIAD0010/PA14_08510/yadR",
"CEG0364","---","COG0463M","HI0868/HI1695/HI1696/spr0091/ACIAD0074",
"CEG0365","---","COG0488R","SA0675/uup-A/uup-B/Rv2477c/MYPU_6900",
"CEG0366","---","COG0513LKJ","SA1885/VCA0061/MG_308/deaD/rheB",
"CEG0367","---","COG0526OC","resA/purL/trx/trxA/Rv0526/trxA",
"CEG0368","---","COG0583K","HI1364/ACIAD0461/ACIAD0746/ACIAD2511/PA14_37910",
"CEG0369","---","COG0596R","MG_310/MG_327/MG_344/Rv3177/PA14_48550",
"CEG0370","---","COG1214O","ydiC/MG_208/spr0129/MYPU_1190/SAOUHSC_0227",
"CEG0371","---","COG2244R","HI0867/HI1700/SP_1529/spr1150/SAOUHSC_01871",
"CEG0372","K00014","COG0169E","shikimate dehydrogenase","[EC:1.1.1.25]"
"CEG0373","K00161","COG1071C","pyruvate dehydrogenase E1 component subunit alpha","[EC:1.2.4.1]"
"CEG0374","K00164","COG0567C","2-oxoglutarate dehydrogenase E1 component","[EC:1.2.4.2]"
"CEG0375","K00275","COG0259H","pyridoxamine 5'-phosphate oxidase","EC:1.4.3.5]"
"CEG0376","K00558","COG0270L","DNA (cytosine-5-)-methyltransferase","[EC:2.1.1.37]"
"CEG0377","K00606","COG0413H","3-methyl-2-oxobutanoate hydroxymethyltransferase","[EC:2.1.2.11]"
"CEG0378","K00625","COG0280C","phosphate acetyltransferase","[EC:2.3.1.8]"
"CEG0379","K00631","COG2937I","glycerol-3-phosphate O-acyltransferase","[EC:2.3.1.15]"
"CEG0380","K00647","COG0304IQ","3-oxoacyl-[acyl-carrier-protein] synthase I","[EC:2.3.1.41]"
"CEG0381","K00760","COG0634F","hypoxanthine phosphoribosyltransferase","[EC:2.4.2.8]"
"CEG0382","K00763","COG1488H","nicotinate phosphoribosyltransferase","[EC:2.4.2.11]"
"CEG0383","K00794","COG0054H","riboflavin synthase beta chain","[EC:2.5.1.-]"
"CEG0384","K00831","COG1932HE","phosphoserine aminotransferase","[EC:2.6.1.52]"
"CEG0385","K00951","COG0317TK","GTP pyrophosphokinase","[EC:2.7.6.5]"
"CEG0386","K01095","COG1267I","phosphatidylglycerophosphatase A","[EC:3.1.3.27]"
"CEG0387","K01356","COG1974KT","repressor LexA","[EC:3.4.21.88]"
"CEG0388","K01465","COG0044F,COG0418F","dihydroorotase","[EC:3.5.2.3]"
"CEG0389","K01591","COG0284F","orotidine-5'-phosphate decarboxylase","[EC:4.1.1.23]"
"CEG0390","K01627","COG2877M","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)","[EC:2.5.1.55]"
"CEG0391","K01673","COG0288P","carbonic anhydrase","[EC:4.2.1.1]"
"CEG0392","K01736","COG0082E","chorismate synthase","[EC:4.2.3.5]"
"CEG0393","K01840","COG1109G","phosphomannomutase","[EC:5.4.2.8]"
"CEG0394","K01880","COG0423J","glycyl-tRNA synthetase","[EC:6.1.1.14]"
"CEG0395","K01911","COG0318IQ","O-succinylbenzoic acid--CoA ligase","[EC:6.2.1.26]"
"CEG0396","K01918","COG0414H","pantoate--beta-alanine ligase","[EC:6.3.2.1]"
"CEG0397","K01923","COG0152F","phosphoribosylaminoimidazole-succinocarboxamide synthase","[EC:6.3.2.6]"
"CEG0398","K02004","COG4603R","---","---"
"CEG0399","K02686","COG2965L","primosomal replication protein N","---"
"CEG0400","K03060","COG1758K","DNA-directed RNA polymerase subunit omega","[EC:2.7.7.6]"
"CEG0401","K03072","COG0342U","preprotein translocase subunit SecD","---"
"CEG0402","K03118","COG0805U","sec-independent protein translocase protein TatC","---"
"CEG0403","K03185","COG0654HC","2-octaprenyl-6-methoxyphenol hydroxylase","[EC:1.14.13.-]"
"CEG0404","K03271","COG0279G","phosphoheptose isomerase","[EC:5.-.-.-]"
"CEG0405","K03346","COG3611L","replication initiation and membrane attachment protein","---"
"CEG0406","K03466","COG1674D","DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family","---"
"CEG0407","K03496","COG1192D","chromosome partitioning protein","---"
"CEG0408","K03497","COG1475K","chromosome partitioning protein, ParB family","---"
"CEG0409","K03499","COG0569P","trk system potassium uptake protein TrkA","---"
"CEG0410","K03528","COG3115D","cell division protein ZipA","---"
"CEG0411","K03563","COG1551T","carbon storage regulator","---"
"CEG0412","K03569","COG1077D","rod shape-determining protein MreB and related proteins","---"
"CEG0413","K03644","COG0320H","lipoic acid synthetase","[EC:2.8.1.8]"
"CEG0414","K03683","COG0847L","ribonuclease T","[EC:3.1.13.-]"
"CEG0415","K03688","COG0661R","ubiquinone biosynthesis protein","---"
"CEG0416","K03695","COG0542O","ATP-dependent Clp protease ATP-binding subunit ClpB","---"
"CEG0417","K03704","COG1278K","cold shock protein (beta-ribbon, CspA family)","---"
"CEG0418","K03771","COG0760O,COG0652O","peptidyl-prolyl cis-trans isomerase SurA","[EC:5.2.1.8]"
"CEG0419","K03786","COG0757E","3-dehydroquinate dehydratase II","[EC:4.2.1.10]"
"CEG0420","K03820","COG0815M","apolipoprotein N-acyltransferase","[EC:2.3.1.-]"
"CEG0421","K03841","COG0158G","fructose-1,6-bisphosphatase I","[EC:3.1.3.11]"
"CEG0422","K03925","COG2001S","MraZ protein","---"
"CEG0423","K04568","COG2269J","lysyl-tRNA synthetase, class II","[EC:6.1.1.6]"
"CEG0424","K05515","COG0768M","penicillin-binding protein 2","---"
"CEG0425","K05524","COG1146C,COG0761IM","ferredoxin","---"
"CEG0426","K05807","COG4105R","putative lipoprotein","---"
"CEG0427","K05837","COG0772D","rod shape determining protein RodA","---"
"CEG0428","K06023","COG1493T","HPr kinase/phosphorylase","[EC:2.7.11.- 2.7.4.-]"
"CEG0429","K06881","COG0618R","---","---"
"CEG0430","K06942","COG0012J","---","---"
"CEG0431","K06997","COG0325R","---","---"
"CEG0432","K07040","COG1399R","uncharacterized protein","---"
"CEG0433","K07235","COG1553P","tRNA 2-thiouridine synthesizing protein D","[EC:2.8.1.-]"
"CEG0434","K08992","COG3771S","putative membrane protein","---"
"CEG0435","K09014","COG0719O","Fe-S cluster assembly protein SufB","---"
"CEG0436","K09015","COG0719O","Fe-S cluster assembly protein SufD","---"
"CEG0437","K09458","COG0304IQ","3-oxoacyl-[acyl-carrier-protein] synthase II","[EC:2.3.1.179]"
"CEG0438","K09698","COG0008J","nondiscriminating glutamyl-tRNA synthetase","[EC:6.1.1.24]"
"CEG0439","K09747","COG0718S","hypothetical protein","---"
"CEG0440","K09748","COG0779S","hypothetical protein","---"
"CEG0441","K09791","COG2835S","hypothetical protein","---"
"CEG0442","K11069","COG0687E","spermidine/putrescine transport system substrate-binding protein","---"
"CEG0443","K13628","COG0316S","iron-sulfur cluster assembly protein","---"
"CEG0444","K11749","COG0750M","regulator of sigma E protease","[EC:3.4.24.-]"
"CEG0445","---","COG0009J","MG_259/Rv1301/MYPU_6130/SAOUHSC_0235",
"CEG0446","---","COG0628R","HI0338/SP_0873/Rv0205/ACIAD3504",
"CEG0447","---","COG0778C","ydjA/HI1278/HI1542/ACIAD2608",
"CEG0448","---","COG1216R","HI0869/wbbL/wbbL1/rfbE/glfT",
"CEG0449","---","COG1307S","MG_326/MG_450/MYPU_3590/MYPU_7660",
"CEG0450","---","COG1309K","uidR/yjgJ/HI0570/mce3R",
"CEG0451","---","COG1393P","yffB/HI0103/MG_127/arsC/spxA",
"CEG0452","---","COG1670J","VC1889/VCA0316/VCA0505/Rv1347c",
"CEG0453","---","COG1680V","lpqK/Rv1730c/PA14_34700/SAOUHSC_00998",
"CEG0454","---","COG1960I","ydiO/fadE19/PA14_34580",
"CEG0455","---","COG2050Q","ydiI/HI1161/PA14_43600/SAOUHSC_00881",
"CEG0456","---","COG2161D","VCA0477/VCA0488/yefM/SAOUHSC_02757",
"CEG0457","---","COG2932K","HI1476/PA14_52530/cI",
"CEG0458","---","COG2963L","insE1/insE/insE5/insE/insE3/insE/insE4/insE",
"CEG0459","---","COG3599D","wag31/Rv2927c/MYPU_3050/SAOUHSC_01462",
"CEG0460","---","COG3668R","VCA0311/VCA0348/VCA0385/VCA0503",
"CEG0461","---","COG0520E","HP0405/Rv3778c/csd",
"CEG0462","---","COG0534V","MG_447/MYPU_2930/MYPU_7380",
"CEG0463","---","COG0589T","Rv2026c/Rv2319c/TB31.7",
"CEG0464","---","COG0654HC","VC2474/ubiF",
"CEG0465","---","COG0861P","HI0056/yoaE/SAOUHSC_0095",
"CEG0466","---","COG1063ER","SP_1270/ybdR/SAOUHSC_0022",
"CEG0467","---","COG1280E","VC1421/HI1307/PA14_43570",
"CEG0468","---","COG1476K","VC1455/VC1464/SAOUHSC_01979",
"CEG0469","---","COG1538MU","HI1462/HP0605/spi4_c",
"CEG0470","---","COG1887M","tagB/SAOUHSC_00227/SAOUHSC_00643",
"CEG0471","---","COG1937S","yaiN/frmR/yohL/rcnR/PA14_47420",
"CEG0472","---","COG2207K","VC0513/ACIAD2986/PA14_43580",
"CEG0473","---","COG2508TQ","Rv1186c/Rv1194c/Rv2242",
"CEG0474","---","COG2610GE","HI0092/gntP/STM2913",
"CEG0475","---","COG2956G","VC1912/HI1223/t1621",
"CEG0476","---","COG3007S","VC1738/VC1739/PA14_25900",
"CEG0477","---","COG3093R","VCA0392/ybaQ/yddM",
"CEG0478","---","COG3677L","insA",
"CEG0479","---","COG3887T","VCA0190/MYPU_5170/SAOUHSC_00015",
"CEG0480","K00031","COG0538C","isocitrate dehydrogenase","[EC:1.1.1.42]"
"CEG0481","K00052","COG0473CE","3-isopropylmalate dehydrogenase","[EC:1.1.1.85]"
"CEG0482","K00145","COG0002E","N-acetyl-gamma-glutamyl-phosphate/N-acetyl-gamma-aminoadipyl-phosphate reductase","[EC:1.2.1.38 1.2.1.-]"
"CEG0483","K00228","COG0408H","coproporphyrinogen III oxidase","[EC:1.3.3.3]"
"CEG0484","K00230","COG4635CH","protoporphyrinogen oxidase","[EC:1.3.3.4]"
"CEG0485","K00242","COG2142C","succinate dehydrogenase hydrophobic membrane anchor protein","---"
"CEG0486","K00286","COG0345E","pyrroline-5-carboxylate reductase","[EC:1.5.1.2]"
"CEG0487","K00383","COG1249C","glutathione reductase (NADPH)","[EC:1.8.1.7]"
"CEG0488","K00425","COG1271C","cytochrome bd-I oxidase subunit I","[EC:1.10.3.-]"
"CEG0489","K00426","COG1294C","cytochrome bd-I oxidase subunit II","[EC:1.10.3.-]"
"CEG0490","K00640","COG1045E","serine O-acetyltransferase","[EC:2.3.1.30]"
"CEG0491","K00680","COG1835I","---","---"
"CEG0492","K00754","COG0463M","---","---"
"CEG0493","K00761","COG0035F","uracil phosphoribosyltransferase","[EC:2.4.2.9]"
"CEG0494","K00764","COG0034F","amidophosphoribosyltransferase","[EC:2.4.2.14]"
"CEG0495","K00765","COG0040E","ATP phosphoribosyltransferase","[EC:2.4.2.17]"
"CEG0496","K00766","COG0547E","anthranilate phosphoribosyltransferase","[EC:2.4.2.18]"
"CEG0497","K00784","COG1234R","ribonuclease Z","[EC:3.1.26.11]"
"CEG0498","K00805","COG0142H,COG2226","heptaprenyl diphosphate synthase","[EC:2.5.1.30]"
"CEG0499","K00817","COG0079E","histidinol-phosphate aminotransferase","[EC:2.6.1.9]"
"CEG0500","K00857","COG1435F","thymidine kinase","[EC:2.7.1.21]"
"CEG0501","K00868","COG2240H,COG0351H","pyridoxine kinase","[EC:2.7.1.35]"
"CEG0502","K00928","COG0527E","aspartate kinase","[EC:2.7.2.4]"
"CEG0503","K00940","COG0105F","nucleoside-diphosphate kinase","[EC:2.7.4.6]"
"CEG0504","K00941","COG0351H","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","[EC:2.7.1.49 2.7.4.7]"
"CEG0505","K00950","COG0801H","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","[EC:2.7.6.3]"
"CEG0506","K00962","COG1185J","polyribonucleotide nucleotidyltransferase","[EC:2.7.7.8]"
"CEG0507","K01012","COG0502H","biotin synthetase","[EC:2.8.1.6]"
"CEG0508","K01090","COG0631T","protein phosphatase","[EC:3.1.3.16]"
"CEG0509","K01104","COG0394T,COG4464GM","protein-tyrosine phosphatase","[EC:3.1.3.48]"
"CEG0510","K01118","COG1182I","FMN-dependent NADH-azoreductase","[EC:1.7.-.-]"
"CEG0511","K01255","---","leucyl aminopeptidase","[EC:3.4.11.1]"
"CEG0512","K01338","COG0466O","ATP-dependent Lon protease","[EC:3.4.21.53]"
"CEG0513","K01358","COG0740OU","ATP-dependent Clp protease, protease subunit","[EC:3.4.21.92]"
"CEG0514","K01433","COG0788F","formyltetrahydrofolate deformylase","[EC:3.5.1.10]"
"CEG0515","K01489","COG0295F","cytidine deaminase","[EC:3.5.4.5]"
"CEG0516","K01529","COG0474P,COG0003P","---","---"
"CEG0517","K01586","COG0019E","diaminopimelate decarboxylase","[EC:4.1.1.20]"
"CEG0518","K01619","COG0274F","deoxyribose-phosphate aldolase","[EC:4.1.2.4]"
"CEG0519","K01649","COG0119E","2-isopropylmalate synthase","[EC:2.3.3.13]"
"CEG0520","K01661","COG0447H","naphthoate synthase","[EC:4.1.3.36]"
"CEG0521","K01665","COG0147EH","para-aminobenzoate synthetase component I","[EC:2.6.1.85]"
"CEG0522","K01695","COG0159E","tryptophan synthase alpha chain","[EC:4.2.1.20]"
"CEG0523","K01704","COG0066E","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit","[EC:4.2.1.33 4.2.1.35]"
"CEG0524","K01733","COG0498E","threonine synthase","[EC:4.2.3.1]"
"CEG0525","K01735","COG0337E","3-dehydroquinate synthase","[EC:4.2.3.4]"
"CEG0526","K01755","COG0165E","argininosuccinate lyase","[EC:4.3.2.1]"
"CEG0527","K01808","COG0698G","ribose 5-phosphate isomerase B","[EC:5.3.1.6]"
"CEG0528","K01939","COG0104F","adenylosuccinate synthase","[EC:6.3.4.4]"
"CEG0529","K01945","COG0151F","phosphoribosylamine--glycine ligase","[EC:6.3.4.13]"
"CEG0530","K01952","COG0047F,COG0046F","phosphoribosylformylglycinamidine synthase","[EC:6.3.5.3]"
"CEG0531","K02010","COG3842E","iron(III) transport system ATP-binding protein","[EC:3.6.3.30]"
"CEG0532","K02013","COG1120PH","iron complex transport system ATP-binding protein","[EC:3.6.3.34]"
"CEG0533","K02014","COG4772P,COG1629P","iron complex outermembrane recepter protein","---"
"CEG0534","K02015","COG0609P,COG4779P","iron complex transport system permease protein","---"
"CEG0535","K02025","COG1175G,COG4209G","multiple sugar transport system permease protein","---"
"CEG0536","K02027","COG1525L,COG1653G","multiple sugar transport system substrate-binding protein","---"
"CEG0537","K02032","COG1123R,COG4608E","peptide/nickel transport system ATP-binding protein","---"
"CEG0538","K02033","COG0601EP","peptide/nickel transport system permease protein","---"
"CEG0539","K02086","COG3935L","DNA replication protein","---"
"CEG0540","K02169","COG2226H,COG0500QR","biotin synthesis protein BioC","---"
"CEG0541","K02237","COG1555L","competence protein ComEA","---"
"CEG0542","K02315","COG1484L","DNA replication protein DnaC","---"
"CEG0543","K02426","COG2166R","cysteine desulfuration protein SufE","---"
"CEG0544","K02517","COG1560M","lipid A biosynthesis lauroyl acyltransferase","[EC:2.3.1.-]"
"CEG0545","K02551","COG1165H","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","[EC:2.2.1.9]"
"CEG0546","K02806","COG1762GT","PTS system, nitrogen regulatory IIA component","[EC:2.7.1.69]"
"CEG0547","K02841","COG0859M","heptosyltransferase I","[EC:2.4.-.-]"
"CEG0548","K03075","COG1314U","preprotein translocase subunit SecG","---"
"CEG0549","K03117","COG1826U","sec-independent protein translocase protein TatB","---"
"CEG0550","K03182","COG0043H","3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD","[EC:4.1.1.-]"
"CEG0551","K03210","COG1862U","preprotein translocase subunit YajC","---"
"CEG0552","K03272","COG2870M","D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase","[EC:2.7.1.- 2.7.7.-]"
"CEG0553","K03439","COG0220R","tRNA (guanine-N7-)-methyltransferase","[EC:2.1.1.33]"
"CEG0554","K03469","COG0328L","ribonuclease HI","[EC:3.1.26.4]"
"CEG0555","K03470","COG0164L","ribonuclease HII","[EC:3.1.26.4]"
"CEG0556","K03521","COG2086C","electron transfer flavoprotein beta subunit","---"
"CEG0557","K03529","COG1196D","chromosome segregation protein","---"
"CEG0558","K03544","COG1219O","ATP-dependent Clp protease ATP-binding subunit ClpX","---"
"CEG0559","K03550","COG0632L","holliday junction DNA helicase RuvA","---"
"CEG0560","K03553","COG0468L","recombination protein RecA","---"
"CEG0561","K03559","COG0848U","biopolymer transport protein ExbD","---"
"CEG0562","K03570","COG1792M","rod shape-determining protein MreC","---"
"CEG0563","K03593","COG0489D","ATP-binding protein involved in chromosome partitioning","---"
"CEG0564","K03600","COG2969R","stringent starvation protein B","---"
"CEG0565","K03608","COG0851D","cell division topological specificity factor","---"
"CEG0566","K03616","COG2878C","electron transport complex protein RnfB","---"
"CEG0567","K03632","COG3096D","chromosome partition protein MukB","---"
"CEG0568","K03633","COG3006D","chromosome partition protein MukF","---"
"CEG0569","K03641","COG0823U","TolB protein","---"
"CEG0570","K03642","COG0797M","rare lipoprotein A","---"
"CEG0571","K03645","COG3057L","negative modulator of initiation of replication","---"
"CEG0572","K03668","COG3187O","heat shock protein HslJ","---"
"CEG0573","K03702","COG0556L","excinuclease ABC subunit B","---"
"CEG0574","K03703","COG0322L","excinuclease ABC subunit C","---"
"CEG0575","K03768","COG0652O","peptidyl-prolyl cis-trans isomerase B (cyclophilin B)","[EC:5.2.1.8]"
"CEG0576","K03800","COG0095H","lipoate-protein ligase A","[EC:2.7.7.63]"
"CEG0577","K03832","COG0810M","periplasmic protein TonB","---"
"CEG0578","K04044","COG0443O","molecular chaperone HscA","---"
"CEG0579","K04564","COG0605P","superoxide dismutase, Fe-Mn family","[EC:1.15.1.1]"
"CEG0580","K04691","COG0265O","serine protease DegS","[EC:3.4.21.-]"
"CEG0581","K04755","COG0633C","ferredoxin, 2Fe-2S","---"
"CEG0582","K05337","COG1141C","ferredoxin","---"
"CEG0583","K06134","COG2941H","ubiquinone biosynthesis monooxygenase Coq7","[EC:1.14.13.-]"
"CEG0584","K06173","COG0101J","tRNA pseudouridine synthase A","[EC:5.4.99.12]"
"CEG0585","K06177","COG0564J","ribosomal large subunit pseudouridine synthase A","[EC:5.4.99.12]"
"CEG0586","K06186","COG2913J","small protein A","---"
"CEG0587","K06190","COG2917D","intracellular septation protein","---"
"CEG0588","K06948","COG1161R","---","---"
"CEG0589","K06949","COG1162R","ribosome biogenesis GTPase","[EC:3.6.1.-]"
"CEG0590","K06950","COG1418R","uncharacterized protein","---"
"CEG0591","K07009","COG3442R","---","---"
"CEG0592","K07015","COG2179R","---","---"
"CEG0593","K07021","COG0595R","---","---"
"CEG0594","K07056","COG0313R","---","---"
"CEG0595","K07237","COG2168P","tRNA 2-thiouridine synthesizing protein B","---"
"CEG0596","K07305","---","peptide-methionine (R)-S-oxide reductase","[EC:1.8.4.12]"
"CEG0597","K07461","COG2827L","putative endonuclease","---"
"CEG0598","K07668","COG0745TK","two-component system, OmpR family, response regulator VicR","---"
"CEG0599","K08483","COG1080G","phosphotransferase system, enzyme I, PtsI","[EC:2.7.3.9]"
"CEG0600","K08973","COG1981S","putative membrane protein","---"
"CEG0601","K09159","COG2938S","hypothetical protein","---"
"CEG0602","K09774","COG1934S","lipopolysaccharide export system protein LptA","---"
"CEG0603","K09900","COG3097S","hypothetical protein","---"
"CEG0604","K09976","COG3763S","hypothetical protein","---"
"CEG0605","K11070","COG1177E","spermidine/putrescine transport system permease protein","---"
"CEG0606","K11072","COG3842E","spermidine/putrescine transport system ATP-binding protein","[EC:3.6.3.31]"
"CEG0607","K11144","COG1484L","primosomal protein DnaI","---"
"CEG0608","K11175","COG0299F","phosphoribosylglycinamide formyltransferase 1","[EC:2.1.2.2]"
"CEG0609","K11719","COG3117S","lipopolysaccharide export system protein LptC","---"
"CEG0610","K11991","COG0590FJ","tRNA-specific adenosine deaminase","[EC:3.5.4.-]"
"CEG0611","K12257","COG0341U","SecD/SecF fusion protein","---"
"CEG0612","K12573","COG0557K","ribonuclease R","[EC:3.1.-.-]"
"CEG0613","---","---","PE FAMILY PROTEIN",
"CEG0614","K00009","COG0246G","mannitol-1-phosphate 5-dehydrogenase","[EC:1.1.1.17]"
"CEG0615","K00012","COG1004M","UDPglucose 6-dehydrogenase","[EC:1.1.1.22]"
"CEG0616","K00013","COG0141E","histidinol dehydrogenase","[EC:1.1.1.23]"
"CEG0617","K00024","COG0039C","malate dehydrogenase","[EC:1.1.1.37]"
"CEG0618","K00033","COG1023G,COG0362G","6-phosphogluconate dehydrogenase","[EC:1.1.1.44]"
"CEG0619","K00036","COG0364G","glucose-6-phosphate 1-dehydrogenase","[EC:1.1.1.49]"
"CEG0620","K00053","COG0059EH","ketol-acid reductoisomerase","[EC:1.1.1.86]"
"CEG0621","K00054","COG1257I","hydroxymethylglutaryl-CoA reductase","[EC:1.1.1.88]"
"CEG0622","K00097","COG1995H","4-hydroxythreonine-4-phosphate dehydrogenase","[EC:1.1.1.262]"
"CEG0623","K00162","COG0022C","pyruvate dehydrogenase E1 component subunit beta","[EC:1.2.4.1]"
"CEG0624","K00239","COG1053C","succinate dehydrogenase flavoprotein subunit","[EC:1.3.99.1]"
"CEG0625","K00240","COG0479C","succinate dehydrogenase iron-sulfur protein","[EC:1.3.99.1]"
"CEG0626","K00241","COG2009C","succinate dehydrogenase cytochrome b-556 subunit","---"
"CEG0627","K00249","COG1960I","acyl-CoA dehydrogenase","[EC:1.3.99.3]"
"CEG0628","K00257","COG1960I","---","---"
"CEG0629","K00265","COG0067E,COG0070E","glutamate synthase (NADPH/NADH) large chain","[EC:1.4.1.13 1.4.1.14]"
"CEG0630","K00266","COG0493ER","glutamate synthase (NADPH/NADH) small chain","[EC:1.4.1.13 1.4.1.14]"
"CEG0631","K00278","COG0029H","L-aspartate oxidase","[EC:1.4.3.16]"
"CEG0632","K00331","COG0377C","NADH dehydrogenase I subunit B","[EC:1.6.5.3]"
"CEG0633","K00334","COG1905C","NADH dehydrogenase I subunit E","[EC:1.6.5.3]"
"CEG0634","K00335","COG1894C","NADH dehydrogenase I subunit F","[EC:1.6.5.3]"
"CEG0635","K00336","COG1034C","NADH dehydrogenase I subunit G","[EC:1.6.5.3]"
"CEG0636","K00338","COG1143C","NADH dehydrogenase I subunit I","[EC:1.6.5.3]"
"CEG0637","K00340","COG0713C","NADH dehydrogenase I subunit K","[EC:1.6.5.3]"
"CEG0638","K00407","COG4736O","cb-type cytochrome c oxidase subunit IV","[EC:1.9.3.1]"
"CEG0639","K00528","COG1018C","ferredoxin--NADP+ reductase","[EC:1.18.1.2]"
"CEG0640","K00537","COG1393P","arsenate reductase","[EC:1.20.4.1]"
"CEG0641","K00549","COG0620E","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","[EC:2.1.1.14]"
"CEG0642","K00599","COG2265J,COG0500QR","---","---"
"CEG0643","K00602","COG0138F","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","[EC:2.1.2.3 3.5.4.10]"
"CEG0644","K00609","COG0540F","aspartate carbamoyltransferase catalytic subunit","[EC:2.1.3.2]"
"CEG0645","K00620","COG1364E","glutamate N-acetyltransferase / amino-acid N-acetyltransferase","[EC:2.3.1.35 2.3.1.1]"
"CEG0646","K00641","COG2021E","homoserine O-acetyltransferase","[EC:2.3.1.31]"
"CEG0647","K00652","COG0156H","8-amino-7-oxononanoate synthase","[EC:2.3.1.47]"
